id,name,photo,salary,working_history
201,John Lennon,NULL,57000,NULL
202,Paul Mc Cartney,NULL,95000,NULL
203,Goerge Harrison,NULL,57000,NULL
204,Ringgo Star,NULL,57000,NULL
207,Goerge Martin,NULL,60000,NULL
304,Brian Eipstin,NULL,55000,NULL
305,Johan Sebastian Bach,NULL,75000,NULL
404,Keith Richard,NULL,45000,NULL
405,Rod Steward,NULL,55000,NULL
406,Elvis Presley,NULL,55000,NULL
407,Brian May,NULL,55000,NULL
808,Albert Enstein,NULL,75000,NULL
801,Isaacs Newton,NULL,65000,NULL
802,Schrodinger,NULL,65000,NULL
709,Felix Guardo,NULL,150000,NULL
